年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
65,165,高中,2000-5000,河北省,离异,已购房(无贷款),"['独立', '女孩', '常住', '地点', '石家庄市', '裕华区', '平时', '业余时间', '喜欢', '旅行', '稳定', '国有企业', '工作', '理想', '中', '约会', '方式', '牵手', '漫步', '公园', '希望', '将来', '依偎', '沙发', '里', '电影', '生活', '希望', '网能', '找到', '牵手', '一辈子']",59 - 64,165 - 185,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",河北省,不限,"以后再告诉你,与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",2000,5000,3500,59,64,61.5,165,185,175,0,0,0
62,160,中专/职高/技校,2000以下,河北省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",57 - 68,160 - 180,不限,0-0,河北省,不限,不限,2000,2000,2000,57,68,62.5,160,180,170,0,0,0
65,161,本科,2000-5000,河北省,丧偶,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",59 - 70,169 - 180,"本科,硕士,博士","5000-10000,10000-20000,20000-50000",河北省,丧偶,不限,2000,5000,3500,59,70,64.5,169,180,174.5,10000,10000,10000
56,157,本科,2000-5000,河北省,离异,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",22 - 33,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",河北省,不限,不限,2000,5000,3500,22,33,27.5,160,211,185.5,0,0,0
42,154,高中,2000以下,吉林省,丧偶,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 32,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",吉林省,不限,不限,2000,2000,2000,21,32,26.5,160,211,185.5,0,0,0
60,166,中专/职高/技校,2000-5000,吉林省,丧偶,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",55 - 66,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",吉林省,不限,不限,2000,5000,3500,55,66,60.5,160,211,185.5,0,0,0
22,154,初中,5000-10000,吉林省,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",18 - 27,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",吉林省,不限,不限,5000,10000,7500,18,27,22.5,160,211,185.5,0,0,0
26,150,大专,5000-10000,吉林省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",20 - 31,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",吉林省,不限,不限,5000,10000,7500,20,31,25.5,160,211,185.5,0,0,0
53,160,大专,2000-5000,福建省,离异,已购房(无贷款),"['女人', '常住', '地点', '福建', '龙岩', '平时', '业余时间', '喜欢', '美食', '喜欢', '户外运动', '喜欢', '画画', '十字绣', '歌唱', '不错', '理想', '中', '约会', '方式', '牵手', '漫步', '公园', '希望', '稳重', '幽默', '男士', '希望', '网能', '找到', '牵手', '一辈子']",43 - 53,160 - 180,不限,"2000以下,2000-5000,5000-10000,10000-20000,20000-50000",福建省,不限,"以后再告诉你,与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",2000,5000,3500,43,53,48,160,180,170,0,0,0
53,166,初中,2000以下,福建省,离异,租房,"['有人', '说', '时间', '遇见', '一生', '幸福', '时间', '里', '望穿秋水', '等待', '一份', '真的', '情', '等待']",42 - 52,166 - 186,不限,2000-5000,福建省,不限,已购房(无贷款),2000,2000,2000,42,52,47,166,186,176,2000,5000,3500
